TRE_CN,PREV_TRE_CN,PLT_CN,STATECD,SUBPTYP,SPCD,STATUSCD,DIA,HT,ACTUALHT,CR,STANDING_DEAD_CD,DIAHTCD,CULL,ROUGHCULL,CULLFORM,CULLMSTOP,DECAYCD,TREECLCD,HTDMP,WDLDSTEM,STDORGCD,SITREE,BALIVE,VOLTSGRS,VOLTSGRS_BARK,VOLTSSND,VOLTSSND_BARK,VOLCFGRS_STUMP,VOLCFGRS_STUMP_BARK,VOLCFSND_STUMP,VOLCFSND_STUMP_BARK,VOLCFGRS,VOLCFGRS_BARK,VOLCFGRS_TOP,VOLCFGRS_TOP_BARK,VOLCFSND,VOLCFSND_BARK,VOLCFSND_TOP,VOLCFSND_TOP_BARK,VOLCFNET,VOLCFNET_BARK,VOLCSGRS,VOLCSGRS_BARK,VOLCSSND,VOLCSSND_BARK,VOLCSNET,VOLCSNET_BARK,VOLBFGRS,VOLBFNET,VOLBSGRS,VOLBSNET,DRYBIO_STEM,DRYBIO_STEM_BARK,DRYBIO_STUMP,DRYBIO_STUMP_BARK,DRYBIO_BOLE,DRYBIO_BOLE_BARK,DRYBIO_BRANCH,DRYBIO_FOLIAGE,DRYBIO_AG,DRYBIO_BG,CARBON_AG,CARBON_BG,DRYBIO_SAWLOG,DRYBIO_SAWLOG_BARK,CREATED_DATE,MODIFIED_DATE
225028837010661,62272212010538,145006151010661,44,,316,1,7.6,29,29,50,,1,1,7,,,,2,,,0,,185.6304,3.677944,1.062533,3.641164,1.062533,0.382678,0.110553,0.378852,0.110553,2.975142,0.859498,0.320124,0.092482,2.945391,0.859498,0.316922,0.092482,2.737131,0.799334,,,,,,,,,,,130.707053,26.012854,13.599655,2.706555,105.730822,21.042173,40.76934,11.977276,197.489247,28.375301,95.979774,13.790396,,,2025-03-20 06:51:27,
225028786010661,62272116010538,145006151010661,44,,802,1,3.4,32,32,40,,1,,,,,,2,,,0,,185.6304,0.961701,0.254215,0.961701,0.254215,,,,,,,,,,,,,,,,,,,,,,,,,46.331935,8.793771,,,,,2.662173,3.152785,57.787879,8.738291,28.662788,4.334192,,,2025-03-20 06:51:27,
225028809010661,62272158010538,145006151010661,44,,126,1,8.6,67,67,25,,1,1,3,,,,2,,,0,,185.6304,10.671406,3.092278,10.564692,3.092278,0.40961,0.118694,0.405514,0.118694,9.70318,2.811713,0.558616,0.161871,9.606149,2.811713,0.55303,0.161871,9.315053,2.727361,,,,,,,,,,,376.848428,58.459855,14.464904,2.243916,342.656646,53.155742,65.592685,12.518146,500.900969,89.903016,238.929762,42.883739,,,2025-03-20 06:51:27,
225028792010661,62272128010538,145006151010661,44,,126,1,9.7,53,53,20,,1,1,4,,,,2,,,0,,185.6304,10.931024,3.173693,10.821713,3.173693,0.521979,0.15155,0.516759,0.15155,10.054286,2.919143,0.354759,0.103,9.953743,2.919143,0.351211,0.103,9.551571,2.802377,7.607079,2.208625,7.531008,2.208625,7.226725,2.12028,31.899525,30.623544,,,363.290304,59.538084,17.347862,2.843066,334.152099,54.762749,116.378385,21.743762,539.206774,92.019728,257.201631,43.89341,252.819696,41.433532,2025-03-20 06:51:27,
225028798010661,,145006151010661,44,,129,1,0.92,8,8,60,,,,,,,,2,,,0,,185.6304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-20 06:51:27,
225028802010661,62272144010538,145006151010661,44,,316,1,1.0,14,14,40,,1,,,,,,2,,,0,,185.6304,0.042602,0.01385,0.042602,0.01385,,,,,,,,,,,,,,,,,,,,,,,,,1.768821,0.469913,,,,,0.046006,0.28183,2.28474,0.558643,1.110383,0.271501,,,2025-03-20 06:51:27,
225028808010661,62272156010538,145006151010661,44,,802,1,5.7,33,33,20,,1,1,4,,,,2,,,0,,185.6304,2.684996,0.798641,2.658146,0.798641,0.284537,0.084634,0.281692,0.084634,1.921562,0.571561,0.478896,0.142446,1.902347,0.571561,0.474107,0.142446,1.825484,0.548699,,,,,,,,,,,110.438755,17.949447,11.703535,1.902158,79.037347,12.845823,13.529352,9.330382,141.917554,25.680032,70.391107,12.737296,,,2025-03-20 06:51:27,
225028825010661,62272188010538,145006151010661,44,,802,1,6.8,38,38,25,,1,1,4,,,,2,,,0,,185.6304,4.331282,1.134036,4.28797,1.134036,0.407765,0.106763,0.403688,0.106763,3.469001,0.90827,0.454516,0.119004,3.434311,0.90827,0.449971,0.119004,3.295551,0.871939,,,,,,,,,,,167.884345,25.856346,15.805351,2.434227,134.461539,20.708805,25.24601,12.308008,218.986701,43.577842,108.617404,21.61461,,,2025-03-20 06:51:27,
225028797010661,62272138010538,145006151010661,44,,126,1,11.1,54,54,30,,1,1,5,,,,2,,,0,,185.6304,14.663942,4.140002,14.517303,4.140002,0.688157,0.194284,0.681276,0.194284,13.687322,3.864278,0.288463,0.08144,13.550449,3.864278,0.285578,0.08144,12.866083,3.671064,11.665078,3.293347,11.548427,3.293347,10.965173,3.12868,51.459045,48.886093,,,480.457528,77.224245,22.547168,3.624021,448.459014,72.081103,177.842261,29.584996,735.524033,123.763149,350.844964,59.035022,382.201075,61.431423,2025-03-20 06:51:27,
225028799010661,,145006151010661,44,,129,1,0.92,8,8,55,,,,,,,,2,,,0,,185.6304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-20 06:51:27,
