CN,STATECD,SUBP,SUBPTYP,PLT_CN,CONDID,PREV_PLT_CN,PREVCOND,SUBPTYP_PROP_CHNG,CREATED_DATE,MODIFIED_DATE
1815742238290487,44,4,2,120044583010661,1,55944116010538,1,1.0,2025-03-20 06:50:12,
1815742211290487,44,1,2,120044585010661,1,55943183010538,1,1.0,2025-03-20 06:50:12,
1815742212290487,44,2,2,120044585010661,1,55943183010538,1,1.0,2025-03-20 06:50:12,
1815742213290487,44,3,2,120044585010661,1,55943183010538,1,1.0,2025-03-20 06:50:12,
1815742214290487,44,4,2,120044585010661,2,55943183010538,2,1.0,2025-03-20 06:50:12,
1815742207290487,44,1,1,120044585010661,1,55943183010538,1,1.0,2025-03-20 06:50:12,
1815742208290487,44,2,1,120044585010661,1,55943183010538,1,1.0,2025-03-20 06:50:12,
1815742209290487,44,3,1,120044585010661,1,55943183010538,1,1.0,2025-03-20 06:50:12,
1815742210290487,44,4,1,120044585010661,2,55943183010538,2,1.0,2025-03-20 06:50:12,
1815741954290487,44,1,1,120044587010661,1,55944346010538,1,1.0,2025-03-20 06:49:58,
1815741955290487,44,2,1,120044587010661,1,55944346010538,1,1.0,2025-03-20 06:49:58,
1815741956290487,44,3,1,120044587010661,2,55944346010538,2,0.7473,2025-03-20 06:49:58,
1815741957290487,44,3,1,120044587010661,2,55944346010538,3,0.2527,2025-03-20 06:49:58,
1815741958290487,44,4,1,120044587010661,1,55944346010538,1,0.6166,2025-03-20 06:49:58,
1815741959290487,44,4,1,120044587010661,2,55944346010538,3,0.3834,2025-03-20 06:49:58,
1815741960290487,44,1,2,120044587010661,1,55944346010538,1,1.0,2025-03-20 06:49:58,
1815741961290487,44,2,2,120044587010661,1,55944346010538,1,1.0,2025-03-20 06:49:58,
1815741962290487,44,3,2,120044587010661,2,55944346010538,2,1.0,2025-03-20 06:49:58,
1815741963290487,44,4,2,120044587010661,1,55944346010538,1,1.0,2025-03-20 06:49:58,
1815742274290487,44,1,1,120044589010661,1,55944501010538,1,0.7025,2025-03-20 06:50:19,
1815742275290487,44,1,1,120044589010661,1,55944501010538,2,0.2975,2025-03-20 06:50:19,
1815742276290487,44,2,1,120044589010661,1,55944501010538,2,0.6938,2025-03-20 06:50:19,
1815742277290487,44,2,1,120044589010661,2,55944501010538,2,0.0485,2025-03-20 06:50:19,
1815742278290487,44,2,1,120044589010661,2,55944501010538,3,0.2577,2025-03-20 06:50:19,
1815742279290487,44,3,1,120044589010661,1,55944501010538,2,1.0,2025-03-20 06:50:19,
1815742280290487,44,4,1,120044589010661,1,55944501010538,2,1.0,2025-03-20 06:50:19,
1815742281290487,44,1,2,120044589010661,1,55944501010538,1,1.0,2025-03-20 06:50:19,
1815742282290487,44,2,2,120044589010661,1,55944501010538,2,1.0,2025-03-20 06:50:19,
1815742283290487,44,3,2,120044589010661,1,55944501010538,2,1.0,2025-03-20 06:50:19,
1815742284290487,44,4,2,120044589010661,1,55944501010538,2,1.0,2025-03-20 06:50:19,
1815741964290487,44,1,1,120044591010661,1,164365988010661,1,1.0,2025-03-20 06:49:58,
1815741965290487,44,2,1,120044591010661,1,164365988010661,1,1.0,2025-03-20 06:49:58,
1815741966290487,44,3,1,120044591010661,1,164365988010661,1,1.0,2025-03-20 06:49:58,
1815741967290487,44,4,1,120044591010661,1,164365988010661,1,1.0,2025-03-20 06:49:58,
1815741968290487,44,1,2,120044591010661,1,164365988010661,1,1.0,2025-03-20 06:49:58,
1815741969290487,44,2,2,120044591010661,1,164365988010661,1,1.0,2025-03-20 06:49:58,
1815741970290487,44,3,2,120044591010661,1,164365988010661,1,1.0,2025-03-20 06:49:58,
1815741971290487,44,4,2,120044591010661,1,164365988010661,1,1.0,2025-03-20 06:49:58,
1815746168290487,44,1,1,145006071010661,1,55945043010538,1,1.0,2025-03-20 06:51:34,
1815746169290487,44,2,1,145006071010661,1,55945043010538,1,1.0,2025-03-20 06:51:34,
1815746170290487,44,3,1,145006071010661,1,55945043010538,1,1.0,2025-03-20 06:51:34,
1815746171290487,44,4,1,145006071010661,1,55945043010538,2,1.0,2025-03-20 06:51:34,
1815746172290487,44,1,2,145006071010661,1,55945043010538,1,1.0,2025-03-20 06:51:34,
1815746173290487,44,2,2,145006071010661,1,55945043010538,1,1.0,2025-03-20 06:51:34,
1815746174290487,44,3,2,145006071010661,1,55945043010538,1,1.0,2025-03-20 06:51:34,
